Condition,SplitPerSession,Features,LearningRate,LossFunction,Iterations,Accuracy,Precision,Recall,F-Score,AUC,AverageLogLoss,TrainingLogLoss,HiddenNodes,Momentum,InitialLearningWeightsDiameter
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.900649,0.717593,0.715935,0.716763,0.927894,0.238621,48.64362,1,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.900649,0.711712,0.729792,0.720639,0.928027,0.235388,49.3393,1,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.900243,0.725301,0.69515,0.709906,0.929701,0.237666,48.849061,1,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.900243,0.737913,0.669746,0.702179,0.93088,0.244049,47.475419,1,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.900243,0.715935,0.715935,0.715935,0.927884,0.238705,48.625396,1,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.899838,0.69375,0.769053,0.729463,0.927894,0.23812,48.751332,1,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.899838,0.69375,0.769053,0.729463,0.928093,0.238173,48.740084,1,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.899432,0.715618,0.709007,0.712297,0.928785,0.237213,48.946492,1,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.899027,0.694093,0.759815,0.725469,0.92845,0.235543,49.30609,1,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.899027,0.733503,0.667436,0.698912,0.930133,0.244383,47.403384,1,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.899027,0.700873,0.741339,0.720539,0.929038,0.233639,49.715774,1,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.898216,0.69697,0.743649,0.719553,0.929047,0.232914,49.871739,1,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.89781,0.741333,0.642032,0.688119,0.930544,0.259252,44.2033,1,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.963504,0.925558,0.861432,0.892344,0.969277,0.217324,53.227127,5,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.961071,0.942257,0.829099,0.882064,0.972334,0.253881,45.359362,5,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.96026,0.926209,0.840647,0.881356,0.975963,0.176829,61.94247,5,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.96026,0.926209,0.840647,0.881356,0.976663,0.176376,62.040069,5,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.958232,0.955801,0.799076,0.87044,0.975162,0.144662,68.865579,5,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.958232,0.902439,0.854503,0.877817,0.981855,0.170135,63.383318,5,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.957826,0.920716,0.831409,0.873786,0.975818,0.175096,62.315435,5,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.957826,0.900243,0.854503,0.876777,0.975214,0.234399,49.55232,5,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.957826,0.900243,0.854503,0.876777,0.977043,0.162453,65.036518,5,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.957015,0.882904,0.87067,0.876744,0.972311,0.283382,39.010102,5,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.957015,0.911839,0.836028,0.872289,0.972836,0.196597,57.688053,5,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.956204,0.911392,0.831409,0.869565,0.976259,0.161197,65.306826,5,0.1,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.955799,0.917526,0.822171,0.867235,0.976056,0.160993,65.350907,5,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.955393,0.908861,0.829099,0.86715,0.97869,0.157401,66.123972,5,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.955393,0.917313,0.819861,0.865854,0.976129,0.178939,61.488404,5,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.952555,0.905128,0.815242,0.857837,0.97758,0.146597,68.449236,5,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.952149,0.906977,0.810624,0.856098,0.966213,0.507777,-9.284679,5,0.1,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.951744,0.902564,0.812933,0.855407,0.976791,0.152734,67.128384,5,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.951744,0.896465,0.819861,0.856454,0.977022,0.166359,64.196003,5,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.951338,0.888337,0.82679,0.856459,0.977677,0.163987,64.706409,5,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.951338,0.902314,0.810624,0.854015,0.972341,0.184202,60.355756,5,0.1,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.950527,0.899743,0.808314,0.851582,0.976428,0.156737,66.266726,5,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.950122,0.918919,0.785219,0.846824,0.961189,0.20216,56.490716,5,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.949716,0.883375,0.822171,0.851675,0.974287,0.168509,63.733144,5,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.9485,0.913514,0.7806,0.841843,0.962173,0.219597,52.737889,5,0.1,0.2
Awake vs Sleep,100,5,0.3,SquaredError,233,0.944039,0.871537,0.799076,0.833735,0.962426,0.189442,59.228042,5,0.1,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.942822,0.901099,0.757506,0.823087,0.971558,0.165724,64.332691,5,0.1,0.2
Awake vs Sleep,100,5,0.2,SquaredError,233,0.939984,0.872063,0.771363,0.818627,0.961982,0.189322,59.253871,5,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.935929,0.868633,0.748268,0.80397,0.961365,0.187369,59.674015,5,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.931873,0.869081,0.720554,0.787879,0.957969,0.192534,58.562554,5,0.1,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.930251,0.873926,0.704388,0.780051,0.962162,0.184534,60.284192,5,0.1,0.2
Awake vs Sleep,100,5,0.1,SquaredError,233,0.929846,0.843915,0.736721,0.786683,0.959536,0.188685,59.390859,5,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,233,0.928224,0.855556,0.711316,0.776797,0.956574,0.192494,58.571175,5,0.1,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.922952,0.862687,0.667436,0.752604,0.954489,0.20197,56.531718,5,0.1,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.906732,0.785915,0.644342,0.708122,0.94036,0.238838,48.596815,5,0.1,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.895783,0.743094,0.621247,0.67673,0.930586,0.295729,36.35258,5,0.1,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.962693,0.938303,0.842956,0.888078,0.97539,0.165961,64.281681,5,0.01,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.960665,0.922111,0.847575,0.883273,0.976699,0.177836,61.725729,5,0.01,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.958232,0.95082,0.803695,0.871089,0.975166,0.144484,68.903985,5,0.01,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.958232,0.925258,0.829099,0.874543,0.976735,0.169032,63.620698,5,0.01,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.958232,0.929688,0.82448,0.873929,0.974847,0.166733,64.115325,5,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.95661,0.903465,0.842956,0.872162,0.971176,0.195017,58.02806,5,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.956204,0.92876,0.812933,0.866995,0.974973,0.180574,61.136593,5,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.955799,0.917526,0.822171,0.867235,0.976149,0.160899,65.371108,5,0.01,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.955799,0.915385,0.82448,0.867558,0.982114,0.154628,66.720697,5,0.01,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.955799,0.895122,0.847575,0.8707,0.982816,0.154118,66.830375,5,0.01,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.955799,0.897059,0.845266,0.870392,0.973517,0.174661,62.409058,5,0.01,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.954988,0.883333,0.856813,0.869871,0.978053,0.160107,65.541413,5,0.01,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.954582,0.910486,0.822171,0.864078,0.97866,0.157513,66.099775,5,0.01,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.954582,0.902256,0.831409,0.865385,0.978636,0.148207,68.102526,5,0.01,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.954177,0.914508,0.815242,0.862027,0.976764,0.160627,65.42964,5,0.01,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.95296,0.91601,0.806005,0.857494,0.96037,0.246394,46.970649,5,0.01,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.951744,0.890547,0.82679,0.857485,0.977693,0.162882,64.944316,5,0.01,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.951338,0.896203,0.817552,0.855072,0.97722,0.16638,64.191302,5,0.01,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.951338,0.902314,0.810624,0.854015,0.972548,0.180947,61.056168,5,0.01,0.2
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.951338,0.904393,0.808314,0.853659,0.963422,0.17926,61.419411,5,0.01,0.2
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.950933,0.902062,0.808314,0.852619,0.95399,0.23517,49.386265,5,0.01,0.2
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.950122,0.916667,0.787529,0.847205,0.962553,0.220861,52.465807,5,0.01,0.2
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.949716,0.927978,0.773672,0.843829,0.971689,0.154106,66.832945,5,0.01,0.2
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.948905,0.894602,0.803695,0.846715,0.964292,0.191966,58.684741,5,0.01,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.947283,0.915068,0.771363,0.837093,0.97423,0.156962,66.218384,5,0.01,0.2
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.945255,0.870647,0.808314,0.838323,0.962296,0.20599,55.666391,5,0.01,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.939578,0.903409,0.734411,0.810191,0.970154,0.172126,62.954749,5,0.01,0.2
Awake vs Sleep,100,5,0.3,SquaredError,233,0.938767,0.8525,0.787529,0.818727,0.960475,0.194281,58.186509,5,0.01,0.2
Awake vs Sleep,100,5,0.2,SquaredError,233,0.937551,0.858612,0.771363,0.812652,0.961066,0.189976,59.113012,5,0.01,0.2
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.935929,0.87062,0.745958,0.803483,0.96055,0.190232,59.057968,5,0.01,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.930251,0.873926,0.704388,0.780051,0.961597,0.185995,59.969718,5,0.01,0.2
Awake vs Sleep,100,5,0.1,SquaredError,233,0.927818,0.831169,0.73903,0.782396,0.957948,0.190584,58.982138,5,0.01,0.2
Awake vs Sleep,100,5,0.05,SquaredError,233,0.926602,0.855932,0.699769,0.770013,0.955315,0.195836,57.851844,5,0.01,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.922141,0.859701,0.665127,0.75,0.953477,0.203137,56.280489,5,0.01,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.905921,0.787966,0.635104,0.703325,0.939299,0.242159,47.882161,5,0.01,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.896188,0.743802,0.623557,0.678392,0.930472,0.293123,36.913504,5,0.01,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.966748,0.937656,0.86836,0.901679,0.977598,0.268127,42.293194,10,0.01,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.966748,0.93985,0.866051,0.901442,0.983431,0.188089,59.519044,10,0.01,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.965531,0.926471,0.872979,0.89893,0.983355,0.168491,63.737077,10,0.01,0.2
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.963909,0.945596,0.842956,0.891331,0.977399,0.243356,47.6245,10,0.01,0.2
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.963504,0.957333,0.829099,0.888614,0.974211,0.192096,58.656741,10,0.01,0.2
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.963098,0.945313,0.838337,0.888617,0.976082,0.148627,68.012141,10,0.01,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.963098,0.936224,0.847575,0.889697,0.97468,0.209902,54.824571,10,0.01,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.962287,0.938144,0.840647,0.886724,0.975799,0.181167,61.008855,10,0.01,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.961882,0.94026,0.836028,0.885086,0.976937,0.134616,71.027637,10,0.01,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.961882,0.922693,0.854503,0.88729,0.985101,0.14649,68.472078,10,0.01,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.961071,0.94695,0.82448,0.881481,0.98149,0.144461,68.908951,10,0.01,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.96026,0.930591,0.836028,0.880779,0.98422,0.136736,70.571456,10,0.01,0.2
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.96026,0.941953,0.82448,0.87931,0.978542,0.191849,58.709816,10,0.01,0.2
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.959043,0.946237,0.812933,0.874534,0.975113,0.16638,64.19144,10,0.01,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.959043,0.941489,0.817552,0.875155,0.979395,0.154428,66.76377,10,0.01,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.958637,0.9437,0.812933,0.873449,0.95307,0.518061,-11.498067,10,0.01,0.2
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.958232,0.953297,0.801386,0.870765,0.976062,0.152237,67.235229,10,0.01,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.958232,0.93883,0.815242,0.872682,0.978449,0.144736,68.849636,10,0.01,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.958232,0.902439,0.854503,0.877817,0.981598,0.201981,56.529395,10,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.957826,0.925065,0.82679,0.873171,0.978558,0.148524,68.034394,10,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.957826,0.93634,0.815242,0.871605,0.977916,0.169243,63.575134,10,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.957421,0.916244,0.833718,0.873035,0.980512,0.145383,68.710355,10,0.01,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.955799,0.928571,0.810624,0.865598,0.978774,0.151731,67.344277,10,0.01,0.2
Awake vs Sleep,100,5,0.1,SquaredError,233,0.955393,0.952381,0.785219,0.860759,0.973364,0.151364,67.423163,10,0.01,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.954582,0.939726,0.792148,0.859649,0.978127,0.154678,66.709955,10,0.01,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.954177,0.910256,0.819861,0.862697,0.978167,0.152417,67.19661,10,0.01,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.954177,0.944444,0.785219,0.857503,0.97786,0.166732,64.115626,10,0.01,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.953771,0.949296,0.778291,0.85533,0.975987,0.142942,69.235806,10,0.01,0.2
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.952149,0.936288,0.7806,0.851385,0.972696,0.145988,68.580153,10,0.01,0.2
Awake vs Sleep,100,5,0.05,SquaredError,233,0.942417,0.89863,0.757506,0.822055,0.967639,0.172229,62.932573,10,0.01,0.2
Awake vs Sleep,100,5,0.3,SquaredError,233,0.937551,0.858612,0.771363,0.812652,0.961429,0.193177,58.424189,10,0.01,0.2
Awake vs Sleep,100,5,0.2,SquaredError,233,0.936334,0.852041,0.771363,0.809697,0.962035,0.189619,59.18982,10,0.01,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.931062,0.878963,0.704388,0.782051,0.961332,0.186213,59.922894,10,0.01,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.930251,0.880466,0.69746,0.778351,0.960614,0.185047,60.173829,10,0.01,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.902271,0.775862,0.623557,0.691421,0.935375,0.269316,42.037404,10,0.01,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.895783,0.741758,0.623557,0.677541,0.930511,0.292584,37.029514,10,0.01,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.969181,0.932203,0.889145,0.910165,0.981222,0.270925,41.691057,50,0.01,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.967964,0.965789,0.847575,0.902829,0.972821,0.241406,48.044203,50,0.01,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.967153,0.944444,0.863741,0.902292,0.983332,0.16744,63.96334,50,0.01,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.966748,0.963061,0.842956,0.899015,0.986193,0.126926,72.682681,50,0.01,0.2
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.966342,0.9375,0.866051,0.90036,0.978574,0.325421,29.962263,50,0.01,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.965937,0.958005,0.842956,0.896806,0.979946,0.154215,66.809507,50,0.01,0.2
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.964315,0.938931,0.852194,0.893462,0.980562,0.134311,71.093432,50,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.964315,0.934509,0.856813,0.893976,0.980568,0.17061,63.281088,50,0.01,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.964315,0.934509,0.856813,0.893976,0.979355,0.185516,60.07288,50,0.01,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.963909,0.936548,0.852194,0.892382,0.980245,0.205664,55.736682,50,0.01,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.963504,0.940874,0.845266,0.890511,0.980281,0.286467,38.345999,50,0.01,0.2
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.963504,0.927681,0.859122,0.892086,0.975537,0.292067,37.140921,50,0.01,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.962287,0.954545,0.82448,0.884758,0.979421,0.176224,62.072725,50,0.01,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.961071,0.959128,0.812933,0.88,0.982743,0.138995,70.085356,50,0.01,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.961071,0.969359,0.803695,0.878788,0.983174,0.147147,68.330699,50,0.01,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.960665,0.954054,0.815242,0.879203,0.979846,0.131784,71.637186,50,0.01,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.960665,0.907767,0.863741,0.885207,0.981365,0.250366,46.115703,50,0.01,0.2
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.96026,0.958904,0.808314,0.877193,0.97855,0.143281,69.162774,50,0.01,0.2
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.96026,0.956403,0.810624,0.8775,0.970525,0.183562,60.49347,50,0.01,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.958637,0.950954,0.806005,0.8725,0.979157,0.135838,70.764654,50,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.958637,0.934383,0.822171,0.874693,0.980632,0.139479,69.980981,50,0.01,0.2
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.957826,0.968661,0.785219,0.867347,0.973829,0.167582,63.932785,50,0.01,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.954988,0.965318,0.771363,0.85751,0.976685,0.154694,66.706462,50,0.01,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.954988,0.957386,0.778291,0.858599,0.979226,0.144924,68.809229,50,0.01,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.95296,0.970326,0.755196,0.849351,0.97832,0.152623,67.152308,50,0.01,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.95296,0.956772,0.766744,0.851282,0.977576,0.145395,68.707879,50,0.01,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.950933,0.967066,0.745958,0.842243,0.97327,0.17025,63.358506,50,0.01,0.2
Awake vs Sleep,100,5,0.3,SquaredError,233,0.950527,0.899743,0.808314,0.851582,0.965443,0.182616,60.697028,50,0.01,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.950122,0.918919,0.785219,0.846824,0.975087,0.145568,68.670517,50,0.01,0.2
Awake vs Sleep,100,5,0.2,SquaredError,233,0.949716,0.907652,0.794457,0.847291,0.967163,0.184623,60.265172,50,0.01,0.2
Awake vs Sleep,100,5,0.1,SquaredError,233,0.9485,0.925,0.769053,0.839849,0.971254,0.156843,66.244028,50,0.01,0.2
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.946067,0.907609,0.771363,0.833958,0.967971,0.174385,62.468454,50,0.01,0.2
Awake vs Sleep,100,5,0.05,SquaredError,233,0.940389,0.895028,0.748268,0.815094,0.967164,0.168749,63.681434,50,0.01,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.927007,0.866667,0.690531,0.768638,0.95642,0.197876,57.412787,50,0.01,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.903487,0.785924,0.618938,0.692506,0.93771,0.307793,33.756304,50,0.01,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.896594,0.754286,0.6097,0.67433,0.930923,0.376949,18.872453,50,0.01,0.2